Time (ms),Vert[0],Vert[1],Vert[2],Vert[3],Vert[4],Vert[5],Vert[6],Vert[7],
92.3,32.5393381395793,32.5372919000847,32.5337875097215,32.5308693685388,32.5285362841803,32.5267873047569,32.5256217152875,32.5250390395844,
92.35,30.5801957955001,30.578148923747,30.5746432973576,30.5717240187888,30.5693899542465,30.567640198692,30.5664740722811,30.5658911222511,
92.4,28.6102384617614,28.6081907958056,28.6046836168026,28.6017629095326,28.5994276137622,28.5976768832993,28.5965100824321,28.5959267878189,
92.45,26.6400565173859,26.6380079517364,26.634499013894,26.6315766881612,26.6292399976355,26.6274881627846,26.6263205978875,26.6257369129282,
92.5,24.6787925388274,24.6767430368205,24.673232268466,24.670308258324,24.6679701162179,24.6662171319884,24.6650487719388,24.6644646807333,
92.55,22.7374775380642,22.7354271316231,22.7319145951676,22.7289889580536,22.7266494138724,22.7248953194688,22.7237261913916,22.7231417077993,
92.6,20.8316124873693,20.8295612658764,20.8260471360604,20.8231200327773,20.8207792251056,20.8190241302671,20.8178543100846,20.8172694728954,
92.64999,18.9824581644491,18.9804062542968,18.9768907782136,18.973962436142,18.9716205609397,18.9698646208362,18.9686942158999,18.9681090799614,
92.7,17.216545299099,17.2144928366159,17.2109762807831,17.2080469451764,17.205704213804,17.2039475957984,17.2027767218949,17.2021913463636,
92.75,15.5631840157895,15.5611311195727,15.5576137158422,15.554683600052,15.5523401963749,15.5505830460573,15.549411803909,15.5488262402449,
92.8,14.0504342288474,14.0483809804705,14.0448628883144,14.0419321390859,14.0395881895661,14.0378306070715,14.0366590659531,14.036073349549,
92.85,12.7008336190304,12.6987800591982,12.6952613581909,12.6923300487452,12.6899856164813,12.6882276517701,12.6870558462443,12.686469994758,
92.9,11.5284777553356,11.5264238947138,11.5229046057039,11.5199727552222,11.5176278567402,11.5158695228956,11.5146974620119,11.5141114800665,
92.95,10.5383704507005,10.5363162867492,10.5327964047694,10.5298640086766,10.5275186400302,10.5257599339247,10.524587615518,10.5240015020069,
92.99999,9.72777206836558,9.72571759869337,9.72219711906679,9.71926417305604,9.71691833053043,9.71515924922038,9.71398667125314,9.71340042513485,
93.05,9.08850585827421,9.08645108670084,9.08293001689314,9.07999652783174,9.07765021734276,9.07589076551073,9.07471793122147,9.07413155415035,
